grade,pm_id,name,effect_sta_1,effect_value_1,effect_sta_2,effect_value_2,effect_sta_3,effect_value_3,
爛,pm01,被分手的,STRESS,10,INT,,,,STRESS
爛,pm02,嘔吐的,MOOD,-10,INT,,,,MOOD
爛,pm03,太累太辛苦的,MOOD,20,INT,2,,,INT
爛,pm04,不能逃避X2的,STRESS,20,LUCK,2,,,LUCK
爛,pm05,普信的,MOOD,10,INT,,,,
爛,pm06,禽獸不如的,STRESS,10,INT,,,,
普,pm07,無所事事的,STRESS,0,INT,,,,
普,pm08,沒感覺的,STRESS,0,INT,,,,
普,pm09,偶爾會被遺忘的,STRESS,5,INT,,,,
普,pm10,還有半杯水的,MOOD,5,INT,,,,
普,pm11,忘了愛的,STRESS,-5,INT,,,,
普,pm12,拿啦拿啦的,STRESS,5,INT,,,,
普,pm13,甘安捏的,MOOD,5,INT,,,,
好,pm14,睡個回籠覺的,MOOD,10,INT,,,,
好,pm15,水好髒洗腳腳的,STRESS,-10,INT,,,,
好,pm16,真香的,MOOD,10,INT,1,,,
好,pm17,我全都要的,MOOD,20,LUCK,1,,,
好,pm18,只是一把好的,MOOD,10,LUCK,1,,,
好,pm19,師父我還想要打的,MOOD,5,LUCK,1,,,
奇,pm20,生涯無悔的,MOOD,5,INT,3,,,
奇,pm21,意不意外的,MOOD,5,LUCK,3,,,
奇,pm22,愛你去死的,MOOD,5,INT,2,,,
奇,pm23,諸君我喜歡的,MOOD,5,LUCK,3,,,
奇,pm24,道非常道的,MOOD,10,INT,3,SF_FAVOR,10,
奇,pm25,擊鼓夢蝶的,MOOD,10,INT,3,SS_FAVOR,10,
奇,pm26,非命非樂的,MOOD,10,INT,3,DS_FAVOR,10,
