equipment_id,name,icon,effect_sta,effect_value,source,unlock_trigger,price,description
equip_1,師父的內褲,🩲,MOOD,10,initial,,0,不可以戴在頭上，不可以嗎？
equip_2,小師兄送的骨頭,🦴,MOOD,10,initial,,0,小師兄再說我一句我就！汪！
equip_3,大俠身上的落葉,🍂,MOOD,10,initial,,0,還以為是金子做的，為什麼不是！
equip_4,紅紅的果,🍎,INT,3,sellman,,1000,
equip_5,大大的肉,🍖,STR,3,sellman,,1000,
equip_6,甜甜的蜜,🍯,DEX,3,sellman,,1000,
equip_7,小帽帽,👒,DEX,5,sellman,,3000,
equip_8,大帽帽,🎩,INT,5,sellman,,3000,
equip_9,硬帽帽,⛑️,STR,5,sellman,,3000,
equip_10,雖然不能飛起來,🧹,DEX,10,sellman,,5000,
equip_11,好像能看到什麼,🔮,INT,10,sellman,,5000,
equip_12,感覺會變超強壯,👹,STR,10,sellman,,5000,
equip_13,默默守候,🦠,LUCK,3,sellman,,2000,
equip_14,願者上鉤,🎣,LUCK,5,sellman,,4000,
equip_15,奇妙視線,🧿,LUCK,10,sellman,,6000,
equip_16,一級棒,🥇,LUCK,10,story,,0,
equip_17,普通棒,🥈,LUCK,5,story,,0,
equip_18,還算棒,🥉,LUCK,3,story,,0,
equip_19,師父頭上的花,🌺,STRESS,-30,SF,,0,
equip_20,小師兄肩上的蝶,🦋,STRESS,-30,SS,,0,
equip_21,大俠指上的石,🌑,STRESS,-30,DS,,0,
