obj_id,row,col,icon,name,action_type,action_param,ep_cost,chara_id,comment,confirm_message,confirm_buttons
shelf,1,1,📚,書架,open_modal,book_modal,0,PC,書架上有好多鍛造的書...,,
desk,1,2,📝,書桌,open_modal,design_modal,0,PC,嗯...腦袋裡應該有點想法了,,
empty,1,4,,,,,0,,,, 
window,1,3,🖼️,窗,dialogue,,0,PC,外面天氣不錯。,,
anvil,2,1,⚒️,鐵砧,open_modal,forge_modal,0,SF,先畫好設計圖再來打鐵。,,
furnace,2,2,🔥,爐,open_modal,smelt_modal,0,PC,爐火很旺，可以開始工作了！,,
water,2,3,💧,水桶,clean_room,,10,PC,該打掃了嗎？,,
empty,2,4,,,,,0,,,, 
empty,3,1,,,,,0,,,, 
materials,3,2,📦,材料,open_modal,inventory_modal,0,PC,確認一下庫存...,,
empty,3,3,,,,,0,,,, 
door,3,4,🚪,門,confirm_exit,,0,SF,做完事再出去！,真的要離開鍛造室嗎？,離開│再等等
