grade,pp_id,name,effect_sta_1,effect_value_1,effect_sta_2,effect_value_2
爛,pp01,破碎的,metal,3,price,*0.6
爛,pp02,脫毛的,wood,-3,price,*0.6
爛,pp03,殘燭的,metal,-2,price,*0.7
爛,pp04,軟爛的,wood,-3,price,*0.7
爛,pp05,母湯的,metal,3,price,*0.5
爛,pp06,醜到沒眼看的,metal,3,price,*0.5
普,pp07,普通的,metal,0,price,*1
普,pp08,雞肋的,wood,-1,price,*0.9
普,pp09,似是而非的,wood,1,price,*0.8
普,pp10,平整的,metal,1,price,*1
普,pp11,平庸的,metal,0,price,*0.9
普,pp12,中規中矩的,metal,0,price,*1
普,pp13,大眾臉的,metal,-1,price,*1.1
好,pp14,喔不錯喔的,wood,2,price,*1.3
好,pp15,煞有介事的,wood,1,price,*1.4
好,pp16,水水的,wood,1,price,*1.5
好,pp17,堅韌的,metal,3,price,*1.5
好,pp18,光鮮亮麗的,wood,3,price,*1.6
好,pp19,精準的,metal,0,price,*1.5
奇,pp20,開天闢地的,wood,4,price,*3
奇,pp21,閃瞎狗眼的,metal,5,price,*3
奇,pp22,兵兵乓乓的,metal,10,price,*3
奇,pp23,五彩斑斕的,metal,6,price,*3
奇,pp24,猶如江海的,metal,0,SF_FAVOR,10
奇,pp25,砉然嚮然的,metal,0,SS_FAVOR,10
奇,pp26,法儀巧工的,metal,0,DS_FAVOR,10
