event_id,trigger_action,trigger_chance,name,description,condition_stat,condition_value,condition_op,success_stat,success_value,success_text,fail_stat,fail_value,fail_text,chara_id
sevt_001,act_07,30,山豬來,豬是不吉！快逃！,DEX,50,gte,STR,1,幹啥啥不行，逃跑第一名！,MOOD,-10,滾下山坡躲過一劫，但髒兮兮了。 ,PC
sevt_002,act_07,20,野狼晃,狼來了！欸小師兄也來了？,SS_FAVOR,50,gte,STRESS,-10,小師兄威壓太強，狼跑了，嘻嘻。,STRESS,10,小師兄冷笑一聲又走了！不嘻嘻。,PC
sevt_003,act_07,10,怪鳥舞,有隻頭上爆炸的鳥在我面前跳舞。,INT,50,gte,LUCK,1,這是鳳凰寶寶，祂給我一根羽毛。,DEX,1,我也要跳舞，啊把牠嚇跑了。,PC
sevt_004,act_08,30,迷路了,這裡是哪裡我是誰！？,INT,60,gte,MOOD,10,找到一個神祕的小鎮，大家熱情至招待我。,MOOD,-10,孤苦無依地睡在濕濕的草上。,
sevt_005,act_08,20,遇到了,那邊有個黑黑的東西……,DS_FAVOR,60,gte,MONEY,300,大俠說出門在外要多帶點錢，就給我錢。,STRESS,10,移動方式好怪，感覺不是人，快逃。,
sevt_006,act_08,10,挖到了,那不是近山那邊的豬嗎，牠在幹嘛？,STR,60,gte,STR,2,趁牠離開後去看一下，是厲害香菇。,DEX,-1,跟牠對上眼了，逃跑時扭到腳毛嗚嗚。,
sevt_007,act_09,30,冷笑話,遠親不如近林。,DEX,50,gte,MOOD,10,哈哈，笑話大王就是我。,MOOD,-10,笑話太冷了，被路人嘲笑了。,
sevt_008,act_09,20,小雞湯,山雞在山上好自在，人也該這樣。,STRESS,50,gte,STR,1,好想把牠們燉來吃，好餓。,INT,1,感覺人比雞苦。不想工作了。,
sevt_009,act_09,10,熱故事,有一個白髮老頭在石頭上。,LUCK,50,gte,INT,2,我拉把椅子聽他說他的英勇事蹟。,MONEY,-100,被、被敲詐了！,
sevt_010,act_10,30,風咻咻,風帶來了一些什麼？,INT,60,gte,LUCK,2,感應到了！神明的力量，吧？,STRESS,30,是奇怪的花粉！啾啾啾！,
sevt_011,act_10,20,水潺潺,水帶了一點什麼？,STR,60,gte,MONEY,1000,撿到一顆大寶玉！拿去換錢囉！,STR,2,掉進水裡，啵啵啵。爬起來了。,
sevt_012,act_10,10,草沙沙,草在騷動。,DEX,80,gte,DEX,5,追到了！是一隻可愛的老虎寶寶。,STRESS,30,跌倒然後看到了大老虎了啊啊啊！,
sevt_013,act_11,30,逛啊逛,逛到橋上，河裡有人！,STR,60,gte,MONEY,3000,救到有錢人的小女兒！發財囉！,MONEY,1000,救起人但自己溺水，被大俠救起，他還給我錢。,
sevt_014,act_11,20,爬呀爬,爬過去別人家的牆，才沒有！,DEX,60,gte,INT,3,撞見壞壞的場景，利用嘴上功夫逃命成功。,STR,2,沒有爬成功，帶把手臂變強壯了。,
sevt_015,act_11,10,摸喔摸,到處亂摸野草野花。,SS_FAVOR,60,gte,MOOD,30,遇到師父了，師父跟我一起到處摸。,STRESS,30,不小心摸到刺刺的東西，好痛。,
